其他频道,#genre#
河南梨园,http://222.89.107.42:9876/tsfile/live/0139_7.m3u8?key=txiptv&playlive=1&authid=0
河南民生,http://222.89.107.42:9876/tsfile/live/0139_2.m3u8?key=txiptv&playlive=1&authid=0
河南法制,http://222.89.107.42:9876/tsfile/live/0139_3.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://222.89.107.42:9876/tsfile/live/0139_4.m3u8?key=txiptv&playlive=1&authid=0
河南都市,http://222.89.107.42:9876/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://223.159.8.43:8099/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
湖南国际,http://223.159.8.43:8099/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖南娱乐,http://223.159.8.43:8099/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
湖南教育,http://223.159.8.43:8099/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电影,http://223.159.8.43:8099/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电视剧,http://223.159.8.43:8099/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
湖南经视,http://223.159.8.43:8099/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
湖南都市,http://223.159.8.43:8099/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
湖南都市,http://113.218.218.5:8001/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://111.15.174.107:8969/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://222.89.107.42:9876/tsfile/live/0017_4.m3u8?key=txiptv&playlive=1&authid=0
电视剧,http://61.136.67.238:50085/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄娱乐,http://123.182.212.170:8088/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄生活,http://123.183.27.120:6666/tsfile/live/faacts/1005_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄都市,http://123.182.212.170:8088/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://123.182.212.170:8088/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
西安二套,http://219.145.93.74:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸公共,http://123.182.212.170:8088/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸民生都市,http://123.182.212.170:8088/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
都市,http://61.136.67.238:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://111.15.174.107:8969/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://222.89.107.42:9876/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://171.117.41.102:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://223.159.8.43:8099/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰纪实,http://223.159.8.43:8099/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
陕西一套,http://219.145.93.74:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
陕西二套,http://219.145.93.74:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
靓妆,http://123.182.212.170:8088/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://59.62.8.250:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
2024-04-21更新,#genre#
